,TRTID10,state,county,tract,placefp10,cbsa10,metdiv10,ccflag10,POP00SF3,RUANC00,ITANC00,GEANC00,IRANC00,SCANC00,RUFB00,ITFB00,GEFB00,IRFB00,SCFB00,FB00,NAT00,N10IMM00,AG5UP00,OLANG00,LEP00,AG25UP00,HS00,COL00,AG15UP00,Mar-00,WDS00,CLF00,UNEMP00,DFLABF00,FLABF00,EMPCLF00,PROF00,MANUF00,SEMP00,AG18CV00,VET00,CNI16U00,DIS00,DPOV00,NPOV00,N65POV00,DFMPOV00,NFMPOV00,DWPOV00,NWPOV00,DBPOV00,NBPOV00,DNAPOV00,NNAPOV00,DHPOV00,NHPOV00,DAPOV00,NAPOV00,INCPC00,HU00SP,H30OLD00,OHU00SP,H10YRS00,DMULTI00,MULTI00,HINC00,HINCW00,HINCB00,HINCH00,HINCA00,MHMVAL00,MRENT00,HH00,HHW00,HHB00,HHH00,HHA00,geoid
12855,9001020600,CT,Fairfield County,Census Tract 206,73000,14860,99999,1,4662.0,173.0,1063.0,154.0,647.0,91.0,82.0,75.0,0.0,19.0,30.0,991.0,489.0,347.0,4341.0,1133.0,85.0,3397.0,1384.0,1375.0,3727.0,2352.0,553.0,2725.0,38.0,1969.0,1350.0,2687.0,1194.0,293.0,384.0,3596.0,348.0,2921.0,454.0,4649.0,114.0,37.0,1326.0,8.0,3876.0,79.0,172.0,11.0,0.0,0.0,298.0,7.0,255.0,17.0,38759.0,1702.0,1527.0,1668.0,748.0,1702.0,41.0,81277,85085,68393,65625,64166.66667,320000,1593,1672.0,1426.0,72.0,82.0,76.0,9001020600
12856,9001020700,CT,Fairfield County,Census Tract 207,73000,14860,99999,1,4408.312424000001,116.3850696,1299.350951,197.7480135,582.3624338999999,49.5421375,7.025333529,112.0253335,58.16213459,52.01520012,7.0658671779999995,608.4389445,319.97280750000004,131.3749362,4110.422543,670.6061457000001,61.05066706,3226.499563,1312.003208,1396.545674,3585.080376,2317.70595,621.1653422999999,2227.299264,32.02533353,1861.4429910000001,1072.333892,2195.2739309999997,1109.446709,262.7397391,385.342677,3418.0417009999996,380.84934760000004,2669.6280899999997,413.3072101,4369.9273539999995,196.2482686,41.0,1264.431509,27.02026682,3818.0761469999998,179.20266819999998,112.09626740000002,0.045600355,8.0,0.0,159.4610702,4.0,156.19253480000003,0.0,42892.243310000005,1581.318182,1123.2763,1566.156048,861.3541594000001,1581.318182,214.0253335,76688.25961,77375.83485,150100.532,131456.899,140275.5456,376987.813,715.0480512,1617.140848,1375.993913,74.05066706,51.04560035,63.05066706,9001020700
12857,9001020800,CT,Fairfield County,Census Tract 208,73000,14860,99999,1,2683.0,151.0,697.0,90.0,407.0,9.0,26.0,125.0,0.0,20.0,0.0,369.0,266.0,47.0,2445.0,445.0,81.0,1856.0,680.0,806.0,2022.0,1444.0,238.0,1296.0,74.0,1025.0,563.0,1222.0,617.0,100.0,189.0,1968.0,268.0,1578.0,337.0,2657.0,98.0,34.0,725.0,17.0,2464.0,87.0,47.0,0.0,0.0,0.0,16.0,0.0,84.0,1.0,33822.0,969.0,875.0,956.0,465.0,969.0,10.0,90739,90000,63750,85489,128906.25,361600,1111,918.0,852.0,5.0,14.0,27.0,9001020800
12858,9001020900,CT,Fairfield County,Census Tract 209,73000,14860,99999,1,4366.0,209.0,994.0,254.0,437.0,63.0,79.0,86.0,44.0,38.0,0.0,1179.0,640.0,506.0,4098.0,1194.0,144.0,3326.0,1290.0,1426.0,3663.0,1978.0,732.0,2523.0,63.0,1902.0,1186.0,2460.0,1109.0,301.0,295.0,3549.0,274.0,2983.0,451.0,4358.0,263.0,98.0,1173.0,27.0,3444.0,232.0,203.0,0.0,0.0,0.0,415.0,25.0,262.0,0.0,32042.0,1970.0,1210.0,1932.0,1323.0,1970.0,1069.0,61020,59306,69519,58828,91287.87879,252600,1014,1936.0,1582.0,113.0,137.0,77.0,9001020900
12859,9001021000,CT,Fairfield County,Census Tract 210,73000,14860,99999,1,3380.0,71.0,798.0,136.0,237.0,6.0,0.0,70.0,0.0,19.0,0.0,1125.0,561.0,530.0,3122.0,928.0,140.0,2396.0,998.0,932.0,2675.0,1709.0,350.0,1806.0,74.0,1467.0,889.0,1732.0,767.0,180.0,165.0,2565.0,156.0,2174.0,199.0,3380.0,168.0,54.0,917.0,13.0,2706.0,116.0,96.0,23.0,12.0,0.0,349.0,12.0,150.0,17.0,31687.0,1247.0,908.0,1233.0,664.0,1247.0,190.0,66386,69688,21625,51518,116250,279400,1545,1291.0,1086.0,37.0,87.0,49.0,9001021000
12860,9001021100,CT,Fairfield County,Census Tract 211,73000,14860,99999,1,5516.0,146.0,1182.0,167.0,404.0,57.0,47.0,142.0,10.0,0.0,0.0,1439.0,617.0,606.0,5224.0,1645.0,240.0,4074.0,1633.0,1540.0,4624.0,2378.0,714.0,3404.0,137.0,2442.0,1683.0,3267.0,1345.0,259.0,497.0,4521.0,321.0,3863.0,1228.0,5507.0,347.0,67.0,1379.0,23.0,4101.0,231.0,371.0,0.0,0.0,0.0,607.0,89.0,437.0,62.0,31211.0,2409.0,1467.0,2356.0,1687.0,2409.0,1510.0,62793,64901,62639,51193,79934.21053,270600,1025,2359.0,1891.0,123.0,185.0,135.0,9001021100
12861,9001021200,CT,Fairfield County,Census Tract 212,73000,14860,99999,1,4022.0,173.0,688.0,139.0,381.0,30.0,7.0,29.0,36.0,13.0,8.0,597.0,342.0,166.0,3714.0,865.0,108.0,3111.0,1058.0,1589.0,3317.0,2021.0,503.0,2164.0,37.0,1735.0,982.0,2127.0,1259.0,225.0,364.0,3220.0,391.0,2547.0,309.0,4022.0,203.0,86.0,1101.0,16.0,3366.0,154.0,219.0,49.0,0.0,0.0,107.0,0.0,228.0,0.0,46331.0,1764.0,965.0,1703.0,1041.0,1764.0,550.0,76471,72589,39318,95201,97500,302400,1218,1654.0,1423.0,76.0,67.0,62.0,9001021200
12862,9001021300,CT,Fairfield County,Census Tract 213,73000,14860,99999,1,3825.0,48.0,773.0,155.0,254.0,17.0,18.0,105.0,7.0,0.0,0.0,995.0,470.0,336.0,3555.0,1145.0,227.0,2795.0,1363.0,989.0,3141.0,1476.0,607.0,2088.0,76.0,1633.0,967.0,2012.0,770.0,177.0,245.0,3032.0,210.0,2491.0,348.0,3825.0,183.0,31.0,939.0,21.0,2284.0,51.0,746.0,44.0,24.0,0.0,575.0,84.0,161.0,0.0,29867.0,1556.0,1176.0,1507.0,910.0,1556.0,783.0,57568,60000,48194,47404,92410.71429,238500,960,1512.0,1022.0,273.0,165.0,39.0,9001021300
12863,9001021400,CT,Fairfield County,Census Tract 214,73000,14860,99999,1,6357.0,46.0,430.0,60.0,92.0,43.0,0.0,52.0,0.0,0.0,8.0,2760.0,878.0,1411.0,5858.0,3030.0,788.0,3992.0,2723.0,637.0,4785.0,1927.0,1269.0,2832.0,134.0,2588.0,1402.0,2698.0,519.0,292.0,200.0,4595.0,297.0,3736.0,757.0,6146.0,889.0,91.0,1540.0,136.0,1612.0,149.0,2224.0,454.0,17.0,0.0,1978.0,221.0,142.0,0.0,19101.0,2283.0,1162.0,2183.0,1767.0,2283.0,1865.0,41627,50025,33269,45132,67500,179100,741,2198.0,865.0,680.0,540.0,33.0,9001021400
12864,9001021500,CT,Fairfield County,Census Tract 215,73000,14860,99999,1,6918.0,9.0,339.0,31.0,54.0,0.0,9.0,60.0,0.0,0.0,0.0,3404.0,718.0,2073.0,6273.0,3671.0,1659.0,4162.0,3228.0,287.0,5296.0,2146.0,904.0,3516.0,324.0,2629.0,1628.0,3192.0,412.0,286.0,227.0,5005.0,243.0,4601.0,720.0,6918.0,1001.0,163.0,1519.0,121.0,793.0,174.0,3151.0,514.0,79.0,0.0,2875.0,358.0,25.0,0.0,15933.0,2270.0,1421.0,2169.0,1615.0,2270.0,1900.0,36174,35759,31941,44493,112500,162200,761,2164.0,337.0,1174.0,629.0,6.0,9001021500
